a	AW1
abgan	AW1 P K AW1 N
abgari	AW1 P K AW1 R IY1
abhan	AW1 P HH AW1 N
abida	AW1 P IY1 T AW1
abide	AW1 P IY1 T AH1
abifi	AW1 P IY1 F IY1
abiha	AW1 P IY1 HH AW1
abihabi	AW1 P IY1 HH AW1 P IY1
abimbi	AW1 P IY1 M P IY1
abiqi	AW1 P IY1 K IY1
abishvn	AW1 P IY1 S HH AO1 N
abixaha	AW1 P IY1 SH AW1 HH AW1
abizi	AW1 P IY1 D IY1
abjinan	AW1 P JH IY1 N AW1 N
abka	AW1 P K AW1
abkai	AW1 P K AW1 JH
abkana	AW1 P K AW1 N AW1
ablame	AW1 P L AW1 M AH1
abqi	AW1 P K IY1
abs	AW1 P S
absa	AW1 P S AW1
absaha	AW1 P S AW1 HH AW1
absakabi	AW1 P S AW1 K AW1 P IY1
absalan	AW1 P S AW1 L AW1 N
absambi	AW1 P S AW1 M P IY1
absame	AW1 P S AW1 M AH1
absari	AW1 P S AW1 R IY1
absi	AW1 P S IY1
absiborambi	AW1 P S IY1 P OW1 R AW1 M P IY1
absika	AW1 P S IY1 K AW1
absilan	AW1 P S IY1 L AW1 N
absime	AW1 P S IY1 M AH1
absinoraha	AW1 P S IY1 N OW1 R AW1 HH AW1
absinorambi	AW1 P S IY1 N OW1 R AW1 M P IY1
absinorame	AW1 P S IY1 N OW1 R AW1 M AH1
abtaha	AW1 P T AW1 HH AW1
abtai	AW1 P T AW1 JH
abtajambi	AW1 P T AW1 JH AW1 M P IY1
abtala	AW1 P T AW1 L AW1
abtalambi	AW1 P T AW1 L AW1 M P IY1
abtarambi	AW1 P T AW1 R AW1 M P IY1
abtu	AW1 P T UW1
abtukvlaha	AW1 P T UW1 K AO1 L AW1 HH AW1
abu	AW1 P UW1
abudai	AW1 P UW1 T AW1 JH
abufi	AW1 P UW1 F IY1
abuha	AW1 P UW1 HH AW1
abujai	AW1 P UW1 JH AW1 JH
abula	AW1 P UW1 L AW1
abulika	AW1 P UW1 L IY1 K AW1
abulikabi	AW1 P UW1 L IY1 K AW1 P IY1
abume	AW1 P UW1 M AH1
abun	AW1 P UW1 N
abuna	AW1 P UW1 N AW1
abuqi	AW1 P UW1 K IY1
aburaha	AW1 P UW1 R AW1 HH AW1
aburambi	AW1 P UW1 R AW1 M P IY1
aburame	AW1 P UW1 R AW1 M AH1
aburanambi	AW1 P UW1 R AW1 N AW1 M P IY1
aburanara	AW1 P UW1 R AW1 N AW1 R AW1
aburgv	AW1 P UW1 R K AO1
aburi	AW1 P UW1 R IY1
aburingge	AW1 P UW1 R IY1 NG NG AH1
abutai	AW1 P UW1 T AW1 JH
acabume	AW1 T AW1 P UW1 M AH1
acabure	AW1 T AW1 P UW1 R AH1
acangga	AW1 T AW1 NG N AW1
acara	AW1 T AW1 R AW1
acire	AW1 T IY1 R AH1
ada	AW1 T AW1
adabnfi	AW1 T AW1 P N F IY1
adabufi	AW1 T AW1 P UW1 F IY1
adabuha	AW1 T AW1 P UW1 HH AW1
adabuhangge	AW1 T AW1 P UW1 HH AW1 NG NG AH1
adabuhe	AW1 T AW1 P UW1 HH AH1
adabumbi	AW1 T AW1 P UW1 M P IY1
adabume	AW1 T AW1 P UW1 M AH1
adabuqi	AW1 T AW1 P UW1 K IY1
adabure	AW1 T AW1 P UW1 R AH1
adada	AW1 T AW1 T AW1
adafi	AW1 T AW1 F IY1
adagan	AW1 T AW1 K AW1 N
adage	AW1 T AW1 K AH1
adaha	AW1 T AW1 HH AW1
adahabi	AW1 T AW1 HH AW1 P IY1
adahai	AW1 T AW1 HH AW1 JH
adahan	AW1 T AW1 HH AW1 N
adahangge	AW1 T AW1 HH AW1 NG NG AH1
adahbuha	AW1 T AW1 HH P UW1 HH AW1
adahvn	AW1 T AW1 HH AO1 N
adai	AW1 T AW1 JH
adaki	AW1 T AW1 K IY1
adal	AW1 T AW1 L
adala	AW1 T AW1 L AW1
adalai	AW1 T AW1 L AW1 JH
adalara	AW1 T AW1 L AW1 R AW1
adali	AW1 T AW1 L IY1
adali'	AW1 T AW1 L IY1
adalika	AW1 T AW1 L IY1 K AW1
adalikan	AW1 T AW1 L IY1 K AW1 N
adalilan	AW1 T AW1 L IY1 L AW1 N
adaliliyan	AW1 T AW1 L IY1 L JH AW1 N
adalingga	AW1 T AW1 L IY1 NG N AW1
adalingge	AW1 T AW1 L IY1 NG NG AH1
adaliqan	AW1 T AW1 L IY1 CH AW1 N
adaliu	AW1 T AW1 L IY1 W
adalixambi	AW1 T AW1 L IY1 SH AW1 M P IY1
adalixambime	AW1 T AW1 L IY1 SH AW1 M P IY1 M AH1
adalixame	AW1 T AW1 L IY1 SH AW1 M AH1
adalixara	AW1 T AW1 L IY1 SH AW1 R AW1
adalixarakv	AW1 T AW1 L IY1 SH AW1 R AW1 K AO1
adalixarangge	AW1 T AW1 L IY1 SH AW1 R AW1 NG NG AH1
adaliyangge	AW1 T AW1 L JH AW1 NG NG AH1
adall	AW1 T AW1 L L
adambi	AW1 T AW1 M P IY1
adame	AW1 T AW1 M AH1
adamikan	AW1 T AW1 M IY1 K AW1 N
adan	AW1 T AW1 N
adana	AW1 T AW1 N AW1
adanafi	AW1 T AW1 N AW1 F IY1
adanambi	AW1 T AW1 N AW1 M P IY1
adaname	AW1 T AW1 N AW1 M AH1
adanaqi	AW1 T AW1 N AW1 K IY1
adanara	AW1 T AW1 N AW1 R AW1
adande	AW1 T AW1 N T AH1
adangga	AW1 T AW1 NG N AW1
adanumbi	AW1 T AW1 N UW1 M P IY1
adaqi	AW1 T AW1 K IY1
adaqibe	AW1 T AW1 K IY1 P AH1
adar	AW1 T AW1 R
adara	AW1 T AW1 R AW1
adaraha	AW1 T AW1 R AW1 HH AW1
adarambi	AW1 T AW1 R AW1 M P IY1
adarame	AW1 T AW1 R AW1 M AH1
adaramen	AW1 T AW1 R AW1 M AH1 N
adareme	AW1 T AW1 R AH1 M AH1
adari	AW1 T AW1 R IY1
adarme	AW1 T AW1 R M AH1
adarmen	AW1 T AW1 R M AH1 N
adaslame	AW1 T AW1 S L AW1 M AH1
adasun	AW1 T AW1 S UW1 N
adasungga	AW1 T AW1 S UW1 NG N AW1
adaxambi	AW1 T AW1 SH AW1 M P IY1
adisai	AW1 T IY1 S AW1 JH
adislame	AW1 T IY1 S L AW1 M AH1
adli	AW1 T L IY1
adon	AW1 T OW1 N
adu	AW1 T UW1
aduhi	AW1 T UW1 HH IY1
aduhv	AW1 T UW1 HH AO1
adui	AW1 T UW1 JH
adulabumbi	AW1 T UW1 L AW1 P UW1 M P IY1
adulaha	AW1 T UW1 L AW1 HH AW1
adulai	AW1 T UW1 L AW1 JH
adulambi	AW1 T UW1 L AW1 M P IY1
adulame	AW1 T UW1 L AW1 M AH1
adulaqi	AW1 T UW1 L AW1 K IY1
adulara	AW1 T UW1 L AW1 R AW1
adun	AW1 T UW1 N
adunggiyabumbi	AW1 T UW1 NG NG JH AW1 P UW1 M P IY1
adunggiyabume	AW1 T UW1 NG NG JH AW1 P UW1 M AH1
adunggiyambi	AW1 T UW1 NG NG JH AW1 M P IY1
adunggiyame	AW1 T UW1 NG NG JH AW1 M AH1
adunggiyaqi	AW1 T UW1 NG NG JH AW1 K IY1
adunggiyara	AW1 T UW1 NG NG JH AW1 R AW1
adunggiyarakv	AW1 T UW1 NG NG JH AW1 R AW1 K AO1
aduqi	AW1 T UW1 K IY1
adurambi	AW1 T UW1 R AW1 M P IY1
adurara	AW1 T UW1 R AW1 R AW1
aduri	AW1 T UW1 R IY1
adurin	AW1 T UW1 R IY1 N
aduringge	AW1 T UW1 R IY1 NG NG AH1
afa	AW1 F AW1
afabu	AW1 F AW1 P UW1
afabubuha	AW1 F AW1 P UW1 P UW1 HH AW1
afabubukv	AW1 F AW1 P UW1 P UW1 K AO1
afabubume	AW1 F AW1 P UW1 P UW1 M AH1
afabubure	AW1 F AW1 P UW1 P UW1 R AH1
afabufi	AW1 F AW1 P UW1 F IY1
afabuha	AW1 F AW1 P UW1 HH AW1
afabuhabi	AW1 F AW1 P UW1 HH AW1 P IY1
afabuhakv	AW1 F AW1 P UW1 HH AW1 K AO1
afabuhangge	AW1 F AW1 P UW1 HH AW1 NG NG AH1
afabuhasongkoi	AW1 F AW1 P UW1 HH AW1 S OW1 NG K OW1 JH
afabuhayvn	AW1 F AW1 P UW1 HH AW1 Y N
afabuki	AW1 F AW1 P UW1 K IY1
afabukini	AW1 F AW1 P UW1 K IY1 N IY1
afabumbi	AW1 F AW1 P UW1 M P IY1
afabume	AW1 F AW1 P UW1 M AH1
afabuqi	AW1 F AW1 P UW1 K IY1
afabuqibe	AW1 F AW1 P UW1 K IY1 P AH1
afaburakv	AW1 F AW1 P UW1 R AW1 K AO1
afabure	AW1 F AW1 P UW1 R AH1
afaburengge	AW1 F AW1 P UW1 R AH1 NG NG AH1
afabureqi	AW1 F AW1 P UW1 R AH1 K IY1
afabureu	AW1 F AW1 P UW1 R AH1 W
afadure	AW1 F AW1 T UW1 R AH1
afafi	AW1 F AW1 F IY1
afagakv	AW1 F AW1 K AW1 K AO1
afaha	AW1 F AW1 HH AW1
afahabi	AW1 F AW1 HH AW1 P IY1
afahade	AW1 F AW1 HH AW1 T AH1
afahai	AW1 F AW1 HH AW1 JH
afahakv	AW1 F AW1 HH AW1 K AO1
afahakvngge	AW1 F AW1 HH AW1 K AO1 NG NG AH1
afahambi	AW1 F AW1 HH AW1 M P IY1
afahanahangge	AW1 F AW1 HH AW1 N AW1 HH AW1 NG NG AH1
afahanambi	AW1 F AW1 HH AW1 N AW1 M P IY1
afahangge	AW1 F AW1 HH AW1 NG NG AH1
afahaqi	AW1 F AW1 HH AW1 K IY1
afahari	AW1 F AW1 HH AW1 R IY1
afahasi	AW1 F AW1 HH AW1 S IY1
afahau	AW1 F AW1 HH AW1 W
afajimbi	AW1 F AW1 JH IY1 M P IY1
afaka	AW1 F AW1 K AW1
afaki	AW1 F AW1 K IY1
afakini	AW1 F AW1 K IY1 N IY1
afakiyambi	AW1 F AW1 K JH AW1 M P IY1
afakv	AW1 F AW1 K AO1
afalame	AW1 F AW1 L AW1 M AH1
afali	AW1 F AW1 L IY1
afamaxxaha	AW1 F AW1 M AW1 SH SH AW1 HH AW1
afambi	AW1 F AW1 M P IY1
afambihe	AW1 F AW1 M P IY1 HH AH1
afambihede	AW1 F AW1 M P IY1 HH AH1 T AH1
afambime	AW1 F AW1 M P IY1 M AH1
afambiu	AW1 F AW1 M P IY1 W
afame	AW1 F AW1 M AH1
afan	AW1 F AW1 N
afana	AW1 F AW1 N AW1
afanabuha	AW1 F AW1 N AW1 P UW1 HH AW1
afanafi	AW1 F AW1 N AW1 F IY1
afanaha	AW1 F AW1 N AW1 HH AW1
afanaki	AW1 F AW1 N AW1 K IY1
afanambi	AW1 F AW1 N AW1 M P IY1
afanambihe	AW1 F AW1 N AW1 M P IY1 HH AH1
afaname	AW1 F AW1 N AW1 M AH1
afanaqi	AW1 F AW1 N AW1 K IY1
afanara	AW1 F AW1 N AW1 R AW1
afanarahv	AW1 F AW1 N AW1 R AW1 HH AO1
afanarakv	AW1 F AW1 N AW1 R AW1 K AO1
afanarangge	AW1 F AW1 N AW1 R AW1 NG NG AH1
afandere	AW1 F AW1 N T AH1 R AH1
afandubume	AW1 F AW1 N T UW1 P UW1 M AH1
afandufi	AW1 F AW1 N T UW1 F IY1
afanduha	AW1 F AW1 N T UW1 HH AW1
afanduhabi	AW1 F AW1 N T UW1 HH AW1 P IY1
afanduhai	AW1 F AW1 N T UW1 HH AW1 JH
afandumbi	AW1 F AW1 N T UW1 M P IY1
afandumbikai	AW1 F AW1 N T UW1 M P IY1 K AW1 JH
afandumbisere	AW1 F AW1 N T UW1 M P IY1 S AH1 R AH1
afandume	AW1 F AW1 N T UW1 M AH1
afanduqi	AW1 F AW1 N T UW1 K IY1
afandurakv	AW1 F AW1 N T UW1 R AW1 K AO1
afandure	AW1 F AW1 N T UW1 R AH1
afandurede	AW1 F AW1 N T UW1 R AH1 T AH1
afandurengge	AW1 F AW1 N T UW1 R AH1 NG NG AH1
afanggala	AW1 F AW1 NG N AW1 L AW1
afaniha	AW1 F AW1 N IY1 HH AW1
afanjifi	AW1 F AW1 N JH IY1 F IY1
afanjiha	AW1 F AW1 N JH IY1 HH AW1
afanjihabi	AW1 F AW1 N JH IY1 HH AW1 P IY1
afanjihangge	AW1 F AW1 N JH IY1 HH AW1 NG NG AH1
afanjihau	AW1 F AW1 N JH IY1 HH AW1 W
afanjiki	AW1 F AW1 N JH IY1 K IY1
afanjikini	AW1 F AW1 N JH IY1 K IY1 N IY1
afanjilame	AW1 F AW1 N JH IY1 L AW1 M AH1
afanjimbi	AW1 F AW1 N JH IY1 M P IY1
afanjime	AW1 F AW1 N JH IY1 M AH1
afanjiqi	AW1 F AW1 N JH IY1 K IY1
afanjiqibe	AW1 F AW1 N JH IY1 K IY1 P AH1
afanjira	AW1 F AW1 N JH IY1 R AW1
afanjirahv	AW1 F AW1 N JH IY1 R AW1 HH AO1
afanjirakv	AW1 F AW1 N JH IY1 R AW1 K AO1
afanjirakvngge	AW1 F AW1 N JH IY1 R AW1 K AO1 NG NG AH1
afanjirangge	AW1 F AW1 N JH IY1 R AW1 NG NG AH1
afanjire	AW1 F AW1 N JH IY1 R AH1
afanjirede	AW1 F AW1 N JH IY1 R AH1 T AH1
afanjqiha	AW1 F AW1 N JH K IY1 HH AW1
afanju	AW1 F AW1 N JH UW1
afanumbi	AW1 F AW1 N UW1 M P IY1
afanuqi	AW1 F AW1 N UW1 K IY1
afanure	AW1 F AW1 N UW1 R AH1
afaqi	AW1 F AW1 K IY1
afaqibe	AW1 F AW1 K IY1 P AH1
afaqina	AW1 F AW1 K IY1 N AW1
afara	AW1 F AW1 R AW1
afarabe	AW1 F AW1 R AW1 P AH1
afarada	AW1 F AW1 R AW1 T AW1
afarade	AW1 F AW1 R AW1 T AH1
afarakv	AW1 F AW1 R AW1 K AO1
afarakvngge	AW1 F AW1 R AW1 K AO1 NG NG AH1
afarakvqi	AW1 F AW1 R AW1 K AO1 K IY1
afarakvqibe	AW1 F AW1 R AW1 K AO1 K IY1 P AH1
afaralame	AW1 F AW1 R AW1 L AW1 M AH1
afaralaqi	AW1 F AW1 R AW1 L AW1 K IY1
afarangge	AW1 F AW1 R AW1 NG NG AH1
afararakv	AW1 F AW1 R AW1 R AW1 K AO1
afarbuha	AW1 F AW1 R P UW1 HH AW1
afarlame	AW1 F AW1 R L AW1 M AH1
afatambi	AW1 F AW1 T AW1 M P IY1
afatara	AW1 F AW1 T AW1 R AW1
afin	AW1 F IY1 N
afiya	AW1 F JH AW1
afuni	AW1 F UW1 N IY1
aga	AW1 K AW1
agabusba	AW1 K AW1 P UW1 S P AW1
agada	AW1 K AW1 T AW1
agafi	AW1 K AW1 F IY1
agaha	AW1 K AW1 HH AW1
agahai	AW1 K AW1 HH AW1 JH
agahakv	AW1 K AW1 HH AW1 K AO1
agahangge	AW1 K AW1 HH AW1 NG NG AH1
agama	AW1 K AW1 M AW1
agamaxxaha	AW1 K AW1 M AW1 SH SH AW1 HH AW1
agamaxxame	AW1 K AW1 M AW1 SH SH AW1 M AH1
agambi	AW1 K AW1 M P IY1
agame	AW1 K AW1 M AH1
agan	AW1 K AW1 N
agangga	AW1 K AW1 NG N AW1
agangge	AW1 K AW1 NG NG AH1
agaqi	AW1 K AW1 K IY1
agaqibe	AW1 K AW1 K IY1 P AH1
agara	AW1 K AW1 R AW1
agarai	AW1 K AW1 R AW1 JH
agarakv	AW1 K AW1 R AW1 K AO1
agarangge	AW1 K AW1 R AW1 NG NG AH1
agasi	AW1 K AW1 S IY1
age	AW1 K AH1
agei	AW1 K AH1 JH
ageli	AW1 K AH1 L IY1
agesa	AW1 K AH1 S AW1
agesai	AW1 K AH1 S AW1 JH
agese	AW1 K AH1 S AH1
agesei	AW1 K AH1 S AH1 JH
agi	AW1 K IY1
agn	AW1 K N
agu	AW1 K UW1
aguda	AW1 K UW1 T AW1
agui	AW1 K UW1 JH
agura	AW1 K UW1 R AW1
agusa	AW1 K UW1 S AW1
agusai	AW1 K UW1 S AW1 JH
aguse	AW1 K UW1 S AH1
agv	AW1 K AO1
agvn	AW1 K AO1 N
agvngge	AW1 K AO1 NG NG AH1
agvnra	AW1 K AO1 N R AW1
agvra	AW1 K AO1 R AW1
agvrai	AW1 K AO1 R AW1 JH
agvre	AW1 K AO1 R AH1
agvrn	AW1 K AO1 R N
aha	AW1 HH AW1
ahabu	AW1 HH AW1 P UW1
ahada	AW1 HH AW1 T AW1
ahadan	AW1 HH AW1 T AW1 N
ahai	AW1 HH AW1 JH
ahajan	AW1 HH AW1 JH AW1 N
ahaliyan	AW1 HH AW1 L JH AW1 N
ahan	AW1 HH AW1 N
ahanikan	AW1 HH AW1 N IY1 K AW1 N
ahantumbi	AW1 HH AW1 N T UW1 M P IY1
ahaqi	AW1 HH AW1 K IY1
ahaqihiyanjimbi	AW1 HH AW1 K IY1 HH JH AW1 N JH IY1 M P IY1
ahara	AW1 HH AW1 R AW1
ahasi	AW1 HH AW1 S IY1
ahatai	AW1 HH AW1 T AW1 JH
ahatuha	AW1 HH AW1 T UW1 HH AW1
ahatumbi	AW1 HH AW1 T UW1 M P IY1
ahature	AW1 HH AW1 T UW1 R AH1
ahe	AW1 HH AH1
ahergen	AW1 HH AH1 R K AH1 N
ahita	AW1 HH IY1 T AW1
ahiya	AW1 HH JH AW1
ahun	AW1 HH UW1 N
ahv	AW1 HH AO1
ahvlabumbi	AW1 HH AO1 L AW1 P UW1 M P IY1
ahvlaha	AW1 HH AO1 L AW1 HH AW1
ahvlambi	AW1 HH AO1 L AW1 M P IY1
ahvlaqi	AW1 HH AO1 L AW1 K IY1
ahvmbume	AW1 HH AO1 M P UW1 M AH1
ahvme	AW1 HH AO1 M AH1
ahvn	AW1 HH AO1 N
ahvnga	AW1 HH AO1 NG AW1
ahvngga	AW1 HH AO1 NG N AW1
ahvngge	AW1 HH AO1 NG NG AH1
ahvnqilaha	AW1 HH AO1 N K IY1 L AW1 HH AW1
ahvnqilambi	AW1 HH AO1 N K IY1 L AW1 M P IY1
ahvnta	AW1 HH AO1 N T AW1
ahvqilabumbi	AW1 HH AO1 K IY1 L AW1 P UW1 M P IY1
ahvqilaha	AW1 HH AO1 K IY1 L AW1 HH AW1
ahvqilahangge	AW1 HH AO1 K IY1 L AW1 HH AW1 NG NG AH1
ahvqilambi	AW1 HH AO1 K IY1 L AW1 M P IY1
ahvqilame	AW1 HH AO1 K IY1 L AW1 M AH1
ahvra	AW1 HH AO1 R AW1
ahvrambi	AW1 HH AO1 R AW1 M P IY1
ahvrame	AW1 HH AO1 R AW1 M AH1
ahvrara	AW1 HH AO1 R AW1 R AW1
ahvri	AW1 HH AO1 R IY1
ahvta	AW1 HH AO1 T AW1
ahvtai	AW1 HH AO1 T AW1 JH
ahvxambi	AW1 HH AO1 SH AW1 M P IY1
ahvxara	AW1 HH AO1 SH AW1 R AW1
ai	AW1 JH
aibade	AW1 JH P AW1 T AH1
aibai	AW1 JH P AW1 JH
aiban	AW1 JH P AW1 N
aibaqi	AW1 JH P AW1 K IY1
aibari	AW1 JH P AW1 R IY1
aibe	AW1 JH P AH1
aibi	AW1 JH P IY1
aibida	AW1 JH P IY1 T AW1
aibide	AW1 JH P IY1 T AH1
aibifi	AW1 JH P IY1 F IY1
aibiha	AW1 JH P IY1 HH AW1
aibihabi	AW1 JH P IY1 HH AW1 P IY1
aibihakv	AW1 JH P IY1 HH AW1 K AO1
aibihangge	AW1 JH P IY1 HH AW1 NG NG AH1
aibimbi	AW1 JH P IY1 M P IY1
aibime	AW1 JH P IY1 M AH1
aibingge	AW1 JH P IY1 NG NG AH1
aibiqi	AW1 JH P IY1 K IY1
aibire	AW1 JH P IY1 R AH1
aibishvn	AW1 JH P IY1 S HH AO1 N
aibsi	AW1 JH P S IY1
aibuxara	AW1 JH P UW1 SH AW1 R AW1
aidaga	AW1 JH T AW1 K AW1
aidagan	AW1 JH T AW1 K AW1 N
aidagn	AW1 JH T AW1 K N
aidaha	AW1 JH T AW1 HH AW1
aidahan	AW1 JH T AW1 HH AW1 N
aidahaxambi	AW1 JH T AW1 HH AW1 SH AW1 M P IY1
aidahaxara	AW1 JH T AW1 HH AW1 SH AW1 R AW1
aidahaxare	AW1 JH T AW1 HH AW1 SH AW1 R AH1
aidan	AW1 JH T AW1 N
aidande	AW1 JH T AW1 N T AH1
aidarame	AW1 JH T AW1 R AW1 M AH1
aidari	AW1 JH T AW1 R IY1
aide	AW1 JH T AH1
aiden	AW1 JH T AH1 N
aidu	AW1 JH T UW1
aiduha	AW1 JH T UW1 HH AW1
aidun	AW1 JH T UW1 N
aidure	AW1 JH T UW1 R AH1
aiduri	AW1 JH T UW1 R IY1
aifin	AW1 JH F IY1 N
aifini	AW1 JH F IY1 N IY1
aifiniqi	AW1 JH F IY1 N IY1 K IY1
aifu	AW1 JH F UW1
aifufi	AW1 JH F UW1 F IY1
aifuha	AW1 JH F UW1 HH AW1
aifuka	AW1 JH F UW1 K AW1
aifumbi	AW1 JH F UW1 M P IY1
aifuqi	AW1 JH F UW1 K IY1
aifurakv	AW1 JH F UW1 R AW1 K AO1
aifure	AW1 JH F UW1 R AH1
aiga	AW1 JH K AW1
aigadame	AW1 JH K AW1 T AW1 M AH1
aigan	AW1 JH K AW1 N
aige	AW1 JH K AH1
aigebu	AW1 JH K AH1 P UW1
aiha	AW1 JH HH AW1
aihadambi	AW1 JH HH AW1 T AW1 M P IY1
aihaji	AW1 JH HH AW1 JH IY1
aihan	AW1 JH HH AW1 N
aihana	AW1 JH HH AW1 N AW1
aihanaha	AW1 JH HH AW1 N AW1 HH AW1
aihu	AW1 JH HH UW1
aihv	AW1 JH HH AO1
aihvju	AW1 JH HH AO1 JH UW1
aihvma	AW1 JH HH AO1 M AW1
aihvme	AW1 JH HH AO1 M AH1
aihvn	AW1 JH HH AO1 N
aiin	AW1 JH N
aij	AW1 JH JH
aiji	AW1 JH JH IY1
aijige	AW1 JH JH IY1 K AH1
aijigen	AW1 JH JH IY1 K AH1 N
aijike	AW1 JH JH IY1 K AH1
aijingge	AW1 JH JH IY1 NG NG AH1
aijiqokoro	AW1 JH JH IY1 CH OW1 K OW1 R OW1
aijirgan	AW1 JH JH IY1 R K AW1 N
aijise	AW1 JH JH IY1 S AH1
aika	AW1 JH K AW1
aikabade	AW1 JH K AW1 P AW1 T AH1
aikabate	AW1 JH K AW1 P AW1 T AH1
aikabde	AW1 JH K AW1 P T AH1
aikabi	AW1 JH K AW1 P IY1
aikadade	AW1 JH K AW1 T AW1 T AH1
aikambi	AW1 JH K AW1 M P IY1
aikan	AW1 JH K AW1 N
aikanaha	AW1 JH K AW1 N AW1 HH AW1
aikanarahv	AW1 JH K AW1 N AW1 R AW1 HH AO1
aikara	AW1 JH K AW1 R AW1
aike	AW1 JH K AH1
aikha	AW1 JH K HH AW1
aikmbahafi	AW1 JH K M P AW1 HH AW1 F IY1
aikvqi	AW1 JH K AO1 K IY1
aila	AW1 JH L AW1
ailaha	AW1 JH L AW1 HH AW1
ailanbade	AW1 JH L AW1 N P AW1 T AH1
ailangga	AW1 JH L AW1 NG N AW1
aili	AW1 JH L IY1
ailimbi	AW1 JH L IY1 M P IY1
ailime	AW1 JH L IY1 M AH1
ailimen	AW1 JH L IY1 M AH1 N
ailin	AW1 JH L IY1 N
ailinaki	AW1 JH L IY1 N AW1 K IY1
ailinambi	AW1 JH L IY1 N AW1 M P IY1
ailire	AW1 JH L IY1 R AH1
ailiyaigaitai	AW1 JH L JH AW1 JH K AW1 JH T AW1 JH
ailungga	AW1 JH L UW1 NG N AW1
aimaga	AW1 JH M AW1 K AW1
aimaidaili	AW1 JH M AW1 JH T AW1 JH L IY1
aimairgei	AW1 JH M AW1 JH R K AH1 JH
aimairgi	AW1 JH M AW1 JH R K IY1
aimaka	AW1 JH M AW1 K AW1
aimame	AW1 JH M AW1 M AH1
aiman	AW1 JH M AW1 N
aimbu	AW1 JH M P UW1
aimbulu	AW1 JH M P UW1 L UW1
aimika	AW1 JH M IY1 K AW1
aimila	AW1 JH M IY1 L AW1
aimin	AW1 JH M IY1 N
aimka	AW1 JH M K AW1
aimrgi	AW1 JH M R K IY1
ain	AW1 JH N
aina	AW1 JH N AW1
ainabade	AW1 JH N AW1 P AW1 T AH1
ainabahafi	AW1 JH N AW1 P AW1 HH AW1 F IY1
ainaha	AW1 JH N AW1 HH AW1
ainahabi	AW1 JH N AW1 HH AW1 P IY1
ainahade	AW1 JH N AW1 HH AW1 T AH1
ainahai	AW1 JH N AW1 HH AW1 JH
ainahangge	AW1 JH N AW1 HH AW1 NG NG AH1
ainahani	AW1 JH N AW1 HH AW1 N IY1
ainaki	AW1 JH N AW1 K IY1
ainakini	AW1 JH N AW1 K IY1 N IY1
ainambahafi	AW1 JH N AW1 M P AW1 HH AW1 F IY1
ainambahaqi	AW1 JH N AW1 M P AW1 HH AW1 K IY1
ainambahara	AW1 JH N AW1 M P AW1 HH AW1 R AW1
