tailo_syllable,jyutping,count,flag
puànn,buann3,4,UNKNOWN_RHYME
pó,bo2,4,
luān,lun1,4,
khong,kong1,4,
Pat,bat1,4,
ìng,ing3,4,
tòng,dong3,4,
bu̍t,bu̍t1,4,UNKNOWN_RHYME
thiap,tip1,4,
sap,sap1,4,
Iông,ung4,4,
būn,bun1,4,
kám,gam2,4,
kûn,gun4,4,
tsíng,zing2,4,
gue̍h,gue̍h1,4,UNKNOWN_RHYME
ka,gaa1,4,
iōng,ung1,4,
tâi,daai4,4,
Thian,tin1,4,
kînn,ginn4,4,UNKNOWN_RHYME
kāu,gaau1,4,
táu,daau2,4,
tōng,dong1,4,
hiông,hung4,4,
tshinn,cinn1,4,UNKNOWN_RHYME
to̍k,do̍k1,4,UNKNOWN_RHYME
tsu,zu1,4,
tiàm,dim3,4,
hā,haa1,4,
hú,hu2,4,
tsáu,zaau2,4,
hāi,haai1,4,
tiông,dung4,4,
sí,si2,4,
tih,dit1,4,
sù,su3,4,
sóo,soo2,4,UNKNOWN_RHYME
má,maa2,4,
hē,he1,4,
tsām,zam1,4,
lê,le4,4,
Liông,lung4,4,
si̍p,si̍p1,4,UNKNOWN_RHYME
hang,hang1,4,
iánn,iann2,4,UNKNOWN_RHYME
tsi,zi1,4,
hân,han4,4,
koe,goe1,4,
tsha,caa1,4,
si,si1,4,
lē,le1,4,
tang,dang1,4,
khùn,kun3,4,
siann,siann1,4,UNKNOWN_RHYME
tsik,zik1,4,
bat,bat1,4,
tsiap,zip1,4,
tiánn,diann2,4,UNKNOWN_RHYME
siā,se1,4,
jiō,joe1,4,
li,li1,4,
siáu,siu2,4,
tshìn,cin3,4,
luê,lo4,4,
kué,go2,4,
koán,goan2,3,UNKNOWN_RHYME
khòng,kong3,3,
tshun,cun1,3,
pua̍h,bua̍h1,3,UNKNOWN_RHYME
A,aa1,3,
tsong,zong1,3,
uī,eoi1,3,
tso̍k,zo̍k1,3,UNKNOWN_RHYME
sîn,sin4,3,
thài,taai3,3,
Kim,gim1,3,
huâ,haa4,3,
miâ,me4,3,
piáu,biu2,3,
bóo,boo2,3,UNKNOWN_RHYME
pa̍t,ba̍t1,3,UNKNOWN_RHYME
gōng,gong1,3,
kheh,ket1,3,
í,i2,3,
khiàm,kim3,3,
pēnn,benn1,3,UNKNOWN_RHYME
siàu,siu3,3,
Pe̍h,be̍h1,3,UNKNOWN_RHYME
huà,haa3,3,
thuànn,tuann3,3,UNKNOWN_RHYME
Ka,gaa1,3,
Hōng,hong1,3,
tshí,ci2,3,
hiān,hin1,3,
Jîn,jin4,3,
tiānn,diann1,3,UNKNOWN_RHYME
pun,bun1,3,
bái,baai2,3,
bāng,bang1,3,
Tshī,ci1,3,
bó,bo2,3,
pau,baau1,3,
láng,lang2,3,
tiunn,diunn1,3,UNKNOWN_RHYME
tiuⁿ,diun1,3,
Û,u4,3,
khòo,koo3,3,UNKNOWN_RHYME
kíng,ging2,3,
sé,se2,3,
tshu,cu1,3,
ki̍k,gi̍k1,3,UNKNOWN_RHYME
tàng,dang3,3,
to,do1,3,
hîng,hing4,3,
bō,bo1,3,
môo,moo4,3,UNKNOWN_RHYME
khut,kut1,3,
Thóng,tong2,3,
kng,gng1,3,
khó,ko2,3,
Sîn,sin4,3,
lak,lak1,3,
hì,hi3,3,
láu,laau2,3,
ba̍t,ba̍t1,3,UNKNOWN_RHYME
koh,got1,3,
tsiàu,ziu3,3,
mài,maai3,3,
tiām,dim1,3,
ká,gaa2,3,
tiám,dim2,3,
kio̍k,gio̍k1,3,UNKNOWN_RHYME
pue,bo1,3,
lia̍p,lia̍p1,3,UNKNOWN_RHYME
ti,di1,3,
lú,lu2,3,
hio̍h,hio̍h1,3,UNKNOWN_RHYME
khuán,kun2,3,
Îng,ing4,3,
tseh,zet1,3,
khiā,ke1,3,
khak,kak1,3,
li̍k,li̍k1,3,UNKNOWN_RHYME
tso,zo1,3,
im,im1,3,
kánn,gann2,3,UNKNOWN_RHYME
Lô,lo4,3,
tong,dong1,3,
tǹg,dng3,3,
Kéng,gang2,3,
kin,gin1,3,
thóo,too2,3,UNKNOWN_RHYME
Cha̍p,cha̍p1,3,UNKNOWN_RHYME
khám,kam2,3,
tshue,co1,3,
giâ,ge4,3,
chhī,chhi1,3,
pho,po1,3,
Siang,soeng1,3,
kuài,gaai3,3,
tè,de3,3,
sak,sak1,3,
luî,leoi4,3,
tiûnn,diunn4,3,UNKNOWN_RHYME
sih,sit1,3,
nī,ni1,3,
sìn,sin3,3,
tó,do2,3,
kiâm,gim4,3,
Hing,hing1,3,
phòo,poo3,3,UNKNOWN_RHYME
tiânn,diann4,3,UNKNOWN_RHYME
thîng,ting4,3,
sì,si3,3,
iûnn,iunn4,3,UNKNOWN_RHYME
sok,sok1,3,
thè,te3,3,
tshin,cin1,3,
pah,baat1,3,
giân,gin4,3,
suah,suah1,3,UNKNOWN_RHYME
tà,daa3,3,
ji̍p,ji̍p1,3,UNKNOWN_RHYME
Chúi,cheoi2,3,
Kiàn,gin3,3,
Kiú,giu2,3,
khue,ko1,3,
Sian,sin1,3,
giâm,gim4,3,
ò,o3,3,
hua,haa1,3,
án,an2,3,
phuà,paa3,3,
hiân,hin4,3,
lo,lo1,3,
giô,goe4,3,
siau,siu1,3,
kán,gan2,3,
Tsit,zit1,3,
kòo,goo3,3,UNKNOWN_RHYME
thn̂g,tng4,3,
uî,eoi4,3,
pháng,pang2,3,
Un,un1,3,
bi̍t,bi̍t1,3,UNKNOWN_RHYME
bo̍k,bo̍k1,3,UNKNOWN_RHYME
lerê,lere4,3,UNKNOWN_RHYME
teh,det1,3,
iap,ip1,3,
ua̍h,ua̍h1,3,UNKNOWN_RHYME
huán,hun2,2,
am,am1,2,
Bi̍t,bi̍t1,2,UNKNOWN_RHYME
pô,bo4,2,
iàu,iu3,2,
Gio̍k,gio̍k1,2,UNKNOWN_RHYME
thòo,too3,2,UNKNOWN_RHYME
tsuân,zun4,2,
lióng,lung2,2,
khiat,kit1,2,
tìn,din3,2,
Kiat,git1,2,
po̍k,bo̍k1,2,UNKNOWN_RHYME
huân,hun4,2,
téng,dang2,2,
pu̍t,bu̍t1,2,UNKNOWN_RHYME
Pi,bi1,2,
tshiong,cung1,2,
Hù,hu3,2,
iông,ung4,2,
suè,so3,2,
bia̍t,bia̍t1,2,UNKNOWN_RHYME
hé,he2,2,
īng,ing1,2,
kā,gaa1,2,
tsioh,zioh1,2,UNKNOWN_RHYME
kiânn,giann4,2,UNKNOWN_RHYME
thuân,tun4,2,
īnn,inn1,2,UNKNOWN_RHYME
pînn,binn4,2,UNKNOWN_RHYME
khuah,kuah1,2,UNKNOWN_RHYME
iânn,iann4,2,UNKNOWN_RHYME
tuè,do3,2,
thau,taau1,2,
ām,am1,2,
kún,gun2,2,
tshiu,ciu1,2,
Bô,bo4,2,
íng,ing2,2,
Phik,pik1,2,
kī,gi1,2,
kū,gu1,2,
Siông,sung4,2,
Tik,dik1,2,
tshiah,ciah1,2,UNKNOWN_RHYME
tshim,cim1,2,
Ngôo,ngoo4,2,UNKNOWN_RHYME
khui,keoi1,2,
uan,un1,2,
iù,iu3,2,
Hok,hok1,2,
Kóo,goo2,2,UNKNOWN_RHYME
Guá,gaa2,2,
sò,so3,2,
lông,long4,2,
pōng,bong1,2,
mih,mit1,2,
goân,goan4,2,UNKNOWN_RHYME
kuânn,guann4,2,UNKNOWN_RHYME
tê,de4,2,
hè,he3,2,
huānn,huann1,2,UNKNOWN_RHYME
Khue,ko1,2,
tshuh,cut1,2,
sūn,sun1,2,
hū,hu1,2,
bông,bong4,2,
Âng,ang4,2,
kiā,ge1,2,
tshua̍h,cua̍h1,2,UNKNOWN_RHYME
tu,du1,2,
tap,dap1,2,
Siàu,siu3,2,
Môo,moo4,2,UNKNOWN_RHYME
gî,gi4,2,
tsng,zng1,2,
gia̍h,gia̍h1,2,UNKNOWN_RHYME
pê,be4,2,
pit,bit1,2,
gia̍p,gia̍p1,2,UNKNOWN_RHYME
tīng,ding1,2,
î,i4,2,
ian,in1,2,
Bông,bong4,2,
Thóo,too2,2,UNKNOWN_RHYME
phiau,piu1,2,
kiám,gim2,2,
Lê,le4,2,
that,tat1,2,
tsiànn,ziann3,2,UNKNOWN_RHYME
ha̍p,ha̍p1,2,UNKNOWN_RHYME
Tsio̍h,zio̍h1,2,UNKNOWN_RHYME
kan,gan1,2,
é,e2,2,
tuan,dun1,2,
puê,bo4,2,
bū,bu1,2,
Kàu,gaau3,2,
tshái,caai2,2,
tsénn,zenn2,2,UNKNOWN_RHYME
tsîm,zim4,2,
hîm,him4,2,
Sái,saai2,2,
tan,dan1,2,
pik,bik1,2,
kiù,giu3,2,
Tsuí,zeoi2,2,
tsiá,ze2,2,
gāng,gang1,2,
Tshang,cang1,2,
iau,iu1,2,
tùn,dun3,2,
Tshiah,ciah1,2,UNKNOWN_RHYME
tann,dann1,2,UNKNOWN_RHYME
pài,baai3,2,
thai,taai1,2,
ú,u2,2,
tôo,doo4,2,UNKNOWN_RHYME
tek,dak1,2,
Lîng,ling4,2,
tshâ,caa4,2,
Àm,am3,2,
meh,met1,2,
îng,ing4,2,
hâng,hang4,2,
sit,sit1,2,
làu,laau3,2,
ta̍p,da̍p1,2,UNKNOWN_RHYME
suat,sut1,2,
iú,iu2,2,
liōng,lung1,2,
Lōo,loo1,2,UNKNOWN_RHYME
moo,moo1,2,UNKNOWN_RHYME
thǹg,tng3,2,
siám,sim2,2,
kìnn,ginn3,2,UNKNOWN_RHYME
kuí,geoi2,2,
tànn,dann3,2,UNKNOWN_RHYME
Án,an2,2,
ne,ne1,2,
ô,o4,2,
tsia,ze1,2,
enn,enn1,2,UNKNOWN_RHYME
Tshing,cing1,2,
Hìng,hing3,2,
sa,saa1,2,
bōo,boo1,2,UNKNOWN_RHYME
khàu,kaau3,2,
toh,dot1,2,
tsiam,zim1,2,
bī,bi1,2,
tsiòng,zung3,2,
Bîn,bin4,2,
tsa̍h,za̍h1,2,UNKNOWN_RHYME
tshiūnn,ciunn1,2,UNKNOWN_RHYME
tsìn,zin3,2,
La̍k,la̍k1,2,UNKNOWN_RHYME
kiann,giann1,2,UNKNOWN_RHYME
uá,aa2,2,
bā,baa1,2,
tah,daat1,2,
gí,gi2,2,
tsiàn,zin3,2,
lôo,loo4,2,UNKNOWN_RHYME
siànn,siann3,2,UNKNOWN_RHYME
hu̍t,hu̍t1,2,UNKNOWN_RHYME
Tsū,zu1,2,
sàng,sang3,2,
tâu,daau4,2,
phiò,poe3,2,
Hué,ho2,2,
Thô,to4,2,
hueh,hot1,2,
hiat,hit1,2,
too,doo1,2,UNKNOWN_RHYME
tsún,zun2,2,
pi̍k,bi̍k1,2,UNKNOWN_RHYME
thiô,toe4,2,
kai,gaai1,2,
kái,gaai2,2,
tsiok,zuk1,2,
po͘,bo͘1,2,UNKNOWN_RHYME
Saⁿ,san1,2,
lut,lut1,2,
Pin,bin1,2,
kiong,gung1,2,
hí,hi2,2,
tsâi,zaai4,2,
muâ,maa4,2,
biâu,biu4,2,
Phài,paai3,2,
ngá,ngaa2,2,
phín,pin2,2,
hê,he4,2,
ping,bing1,2,
ni,ni1,2,
huih,huih1,2,UNKNOWN_RHYME
siú,siu2,2,
hm̍h,hm̍h1,2,UNKNOWN_RHYME
Biō,boe1,2,
hui,heoi1,2,
pí,bi2,2,
Sè,se3,2,
ūn,un1,2,
Tsiok,zuk1,2,
sô,so4,2,
gán,gan2,2,
hi,hi1,2,
tiàu,diu3,2,
kat,gat1,2,
phue,po1,2,
tâm,dam4,2,
kôo,goo4,2,UNKNOWN_RHYME
suî,seoi4,2,
tsūn,zun1,2,
Ông,ong4,2,
Tshit,cit1,2,
Má,maa2,2,
tsóo,zoo2,2,UNKNOWN_RHYME
chùn,chun3,2,
ooh,ooh1,2,UNKNOWN_RHYME
niû,niu4,2,
tsòng,zong3,2,
Hā,haa1,2,
hù,hu3,2,
Huan,hun1,2,
Gē,ge1,2,
siong,sung1,2,
pat,bat1,2,
tsit,zit1,2,
Bûn,bun4,2,
iáu,iu2,2,
Iâ,e4,2,
soo,soo1,2,UNKNOWN_RHYME
la̍k,la̍k1,2,UNKNOWN_RHYME
khian,kin1,2,
kiau,giu1,2,
bân,ban4,2,
Kū,gu1,2,
kà,gaa3,2,
Tō,do1,2,
seng,sang1,2,
siá,se2,2,
puh,but1,2,
uàn,un3,2,
liap,lip1,2,
tsuánn,zuann2,2,UNKNOWN_RHYME
io̍h,io̍h1,2,UNKNOWN_RHYME
uai,aai1,2,
iām,im1,2,
tshòng,cong3,2,
hiam,him1,2,
Hông,hong4,2,
siânn,siann4,2,UNKNOWN_RHYME
soh,sot1,2,
phú,pu2,2,
thiann,tiann1,2,UNKNOWN_RHYME
mōo,moo1,2,UNKNOWN_RHYME
hāu,haau1,2,
niau,niu1,2,
kē,ge1,2,
ho̍k,ho̍k1,2,UNKNOWN_RHYME
kua,gaa1,2,
tiùnn,diunn3,2,UNKNOWN_RHYME
puīnn,buinn1,2,UNKNOWN_RHYME
hóng,hong2,2,
înn,inn4,2,UNKNOWN_RHYME
puânn,buann4,2,UNKNOWN_RHYME
só,so2,2,
Chiong,chung1,2,
sau,saau1,2,
Thài,taai3,2,
Tshim,cim1,2,
liāu,liu1,2,
háu,haau2,2,
cha̍p,cha̍p1,2,UNKNOWN_RHYME
Kńg,gng2,2,
pho̍k,po̍k1,2,UNKNOWN_RHYME
piau,biu1,2,
Pak,bak1,2,
tiòng,dung3,2,
tsiōng,zung1,2,
sǹg,sng3,2,
Lo̍k,lo̍k1,2,UNKNOWN_RHYME
tsân,zan4,2,
tsok,zok1,2,
thiàu,tiu3,2,
lò,lo3,2,
ta̍t,da̍t1,2,UNKNOWN_RHYME
Tê,de4,2,
lûn,lun4,2,
tsù,zu3,2,
kiú,giu2,2,
lua̍h,lua̍h1,2,UNKNOWN_RHYME
ia̍h,ia̍h1,2,UNKNOWN_RHYME
Lī,li1,2,
thong,tong1,2,
Niau,niu1,2,
khok,kok1,2,
tshn̂g,cng4,2,
kér,ger2,2,UNKNOWN_RHYME
pé,be2,2,
sui,seoi1,2,
thang,tang1,2,
phài,paai3,2,
phoo,poo1,2,UNKNOWN_RHYME
suân,sun4,2,
nà,naa3,2,
siān,sin1,1,
Suann,suann1,1,UNKNOWN_RHYME
puì,beoi3,1,
khiⁿ,kin1,1,
kìng,ging3,1,
kere,gere1,1,UNKNOWN_RHYME
bueh,bot1,1,
pan,ban1,1,
Lî,li4,1,
muī,meoi1,1,
Bóng,bong2,1,
pih,bit1,1,
kiáu,giu2,1,
pè,be3,1,
ûn,un4,1,
Phah,paat1,1,
lá,laa2,1,
tsuānn,zuann1,1,UNKNOWN_RHYME
Chng,chng1,1,
mn̄g,mng1,1,
Sìng,sing3,1,
Sing,sing1,1,
La̍t,la̍t1,1,UNKNOWN_RHYME
tsáinn,zainn2,1,UNKNOWN_RHYME
thàng,tang3,1,
liáu,liu2,1,
phàu,paau3,1,
liâng,loeng4,1,
khiang,koeng1,1,
hâm,ham4,1,
Tshian,cin1,1,
Chhian,chhin1,1,
pīnn,binn1,1,UNKNOWN_RHYME
khu̍t,ku̍t1,1,UNKNOWN_RHYME
tsuāi,zaai1,1,
tsuāinn,zuainn1,1,UNKNOWN_RHYME
tshiâu,ciu4,1,
hīnn,hinn1,1,UNKNOWN_RHYME
Tsìn,zin3,1,
kōo,goo1,1,UNKNOWN_RHYME
Khóng,kong2,1,
thàu,taau3,1,
bî,bi4,1,
tshàng,cang3,1,
Huâ,haa4,1,
Hôa,hoa4,1,UNKNOWN_RHYME
hit,hit1,1,
huàn,hun3,1,
sióng,sung2,1,
ìm,im3,1,
tsiú,ziu2,1,
Tsi̍t,zi̍t1,1,UNKNOWN_RHYME
khuì,keoi3,1,
Thé,te2,1,
io̍k,io̍k1,1,UNKNOWN_RHYME
tshîng,cing4,1,
Gōo,goo1,1,UNKNOWN_RHYME
phiânn,piann4,1,UNKNOWN_RHYME
San,san1,1,
sīn,sin1,1,
û,u4,1,
tshé,ce2,1,
Kiâ,ge4,1,
iâu,iu4,1,
kha̍h,ka̍h1,1,UNKNOWN_RHYME
niáu,niu2,1,
tsán,zan2,1,
khuá,kaa2,1,
piàn,bin3,1,
tsó,zo2,1,
khàng,kang3,1,
khū,ku1,1,
tshi,ci1,1,
pué,bo2,1,
Tsông,zong4,1,
tshah,caat1,1,
Tî,di4,1,
tshàm,cam3,1,
piánn,biann2,1,UNKNOWN_RHYME
Uan,un1,1,
Oan,oan1,1,UNKNOWN_RHYME
tsàn,zan3,1,
tî,di4,1,
liu,liu1,1,
tsīn,zin1,1,
tsheh,cet1,1,
Suī,seoi1,1,
Sūi,seoi1,1,
tòo,doo3,1,UNKNOWN_RHYME
Pōo,boo1,1,UNKNOWN_RHYME
tsih,zit1,1,
uì,eoi3,1,
mê,me4,1,
gâm,gam4,1,
ànn,ann3,1,UNKNOWN_RHYME
tû,du4,1,
Tá,daa2,1,
làm,lam3,1,
gong,gong1,1,
góng,gong2,1,
tsn̂g,zng4,1,
Khoe,koe1,1,
kù,gu3,1,
Tsing,zing1,1,
Ē,e1,1,
lán,lan2,1,
huê,ho4,1,
Tuē,do1,1,
huang,hong1,1,
ân,an4,1,
Sū,su1,1,
lîm,lim4,1,
pà,baa3,1,
ng,ng1,1,UNKNOWN_RHYME
tshòo,coo3,1,UNKNOWN_RHYME
bōng,bong1,1,
thiám,tim2,1,
huī,heoi1,1,
Siù,siu3,1,
thiāu,tiu1,1,
suaⁿ,sun1,1,
mo̍oh,mo̍oh1,1,UNKNOWN_RHYME
Táu,daau2,1,
kenn,genn1,1,UNKNOWN_RHYME
tûn,dun4,1,
ing,ing1,1,
bún,bun2,1,
khî,ki4,1,
khiâ,ke4,1,
n̂g,ng4,1,UNKNOWN_RHYME
Gô,go4,1,
kâng,gang4,1,
thâukeh,taukeh4,1,UNKNOWN_RHYME
kòng,gong3,1,
ha̍h,ha̍h1,1,UNKNOWN_RHYME
so,so1,1,
tshiâng,coeng4,1,
tshínn,cinn2,1,UNKNOWN_RHYME
Hue,ho1,1,
Kau,gaau1,1,
Hāu,haau1,1,
tsueh,zot1,1,
phái,paai2,1,
le̍k,le̍k1,1,UNKNOWN_RHYME
siang,soeng1,1,
ngiau,ngiu1,1,
hoo,hoo1,1,UNKNOWN_RHYME
phiat,pit1,1,
bâi,baai4,1,
bua̍t,bua̍t1,1,UNKNOWN_RHYME
giām,gim1,1,
kó,go2,1,
tuà,daa3,1,
guán,gun2,1,
hàm,ham3,1,
sueh,sot1,1,
Hú,hu2,1,
kông,gong4,1,
Thiann,tiann1,1,UNKNOWN_RHYME
khiunn,kiunn1,1,UNKNOWN_RHYME
Sóo,soo2,1,UNKNOWN_RHYME
jî,ji4,1,
kuà,gaa3,1,
pùn,bun3,1,
Gî,gi4,1,
gō͘,go͘1,1,UNKNOWN_RHYME
chú,chu2,1,
lé,le2,1,
tha̍h,ta̍h1,1,UNKNOWN_RHYME
